Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-12,17:40:00,SALISBURY,My Boy Jack,6f,2,4.0,4.43,0.22524567
2025-07-12,17:40:00,SALISBURY,Little Miss Magic,6f,3,4.0,4.12,0.25408226
2025-07-12,17:40:00,SALISBURY,The Cola Kid,6f,5,4.33,4.68,0.29514864
2025-07-12,17:40:00,SALISBURY,Silent Flame,6f,1,5.0,5.71,0.38912222
2025-07-12,17:40:00,SALISBURY,Thank The Lord,6f,4,6.5,7.03,0.27490726
2025-07-12,18:15:00,SALISBURY,A Bit Of Spirit,7f,1,1.36,1.39,0.37393007
2025-07-12,18:15:00,SALISBURY,Shahik,7f,3,7.0,8.59,0.443851
2025-07-12,18:15:00,SALISBURY,Wield,7f,4,9.0,11.0,0.26160455
2025-07-12,18:15:00,SALISBURY,McMurray,7f,2,11.0,13.5,0.16628945
2025-07-12,18:15:00,SALISBURY,Shams,7f, ,81.0,,0.0014718756
2025-07-12,18:45:00,SALISBURY,Palio Di Siena,7f,2,2.75,2.9,0.72699827
2025-07-12,18:45:00,SALISBURY,Silent Storm,7f,3,3.13,3.85,0.6500118
2025-07-12,18:45:00,SALISBURY,Swiss Lightning,7f,5,3.5,3.85,0.58173937
2025-07-12,18:45:00,SALISBURY,Aspull,7f,1,7.5,8.4,0.39720315
2025-07-12,18:45:00,SALISBURY,Valentine Boy,7f,4,41.0,80.0,0.002123255
2025-07-12,18:45:00,SALISBURY,Saint Terry,7f,7,81.0,360.0,0.0007352368
2025-07-12,18:45:00,SALISBURY,Dreamcrafter,7f,8,101.0,440.0,0.0018051699
2025-07-12,18:45:00,SALISBURY,Signore Enzo,7f,6,101.0,370.0,0.00081538426
2025-07-12,19:20:00,SALISBURY,Soul Dance,1m2f,2,2.38,2.56,0.80705935
2025-07-12,19:20:00,SALISBURY,Patsy Snugfit,1m2f,1,3.75,4.0,0.5140057
2025-07-12,19:20:00,SALISBURY,North Star,1m2f,3,4.33,5.0,0.61816895
2025-07-12,19:20:00,SALISBURY,Queen Of Thieves,1m2f,4,5.5,5.82,0.365644
2025-07-12,19:50:00,SALISBURY,Loving Look,1m4f,4,2.0,2.06,0.48831993
2025-07-12,19:50:00,SALISBURY,Lexington Knight,1m4f,1,5.5,6.0,0.10068692
2025-07-12,19:50:00,SALISBURY,Papagei,1m4f,2,7.0,7.8,0.10717372
2025-07-12,19:50:00,SALISBURY,Crystal Mariner,1m4f,3,7.0,7.6,0.49572244
2025-07-12,19:50:00,SALISBURY,Taritino,1m4f,5,9.0,11.12,0.08130916
2025-07-12,20:20:00,SALISBURY,Grand Harbour,1m4f,3,2.75,2.74,0.6979542
2025-07-12,20:20:00,SALISBURY,Emily Rebecca,1m4f,1,3.0,3.35,0.63616365
2025-07-12,20:20:00,SALISBURY,Shabu Shabu,1m4f,2,3.25,3.6,0.5591837
2025-07-12,20:20:00,SALISBURY,Godstone,1m4f,4,15.0,18.0,0.15283889
2025-07-12,20:20:00,SALISBURY,Naturally,1m4f,5,51.0,80.0,0.030725809
